;CODE DU CHEF-LIEU, VILLE;NOM VILLE;CODE DU LYCEE OU COLLEGE;DATE DE FONDATION;SUPERFICIE TOTALE;SUPERFICIE BATIE;SUPERFICIE LIBRE;RECETTE SUBVENTION ETAT;RECETTE SUBVENTION COMMUNE;RECETTE PRODUIT ETAT;RECETTE PRODUIT DEPARTEMENT;RECETTE PRODUIT COMMUNE;RECETTE COMPLEMENT FRAIS;RECETTE PRODUIT EXTERNAT SURVEILLE;RECETTE PRODUIT EXTERNAT SIMPLE;RECETTE COTISATION;"RECETTE TOTALE
";TARIF BOURSIER DEMI-PENSIONNAIRE;TARIF BOURSIER EXTERNE;TARIF ELEVE LIBRE PENSIONNAIRE 2;TARIF ELEVE LIBRE PENSIONNAIRE 1;TARIF ELEVE LIBRE PENSIONNAIRE PRIMAIRE;TARIF ELEVE LIBRE SURVEILLE 2;TARIF ELEVE LIBRE SURVEILLES 1;TARIF ELEVE LIBRES SURVEILLES PRIMAIRE;TARIF ELEVE LIBRES SIMPLE 2;TARIF ELEVE LIBRES SIMPLE 1;TARIF ELEVE LIBRES SIMPLE PRIMAIRE;DEPENSE PERSONNEL TRAITEMENT;DEPENSE PERSONNEL INDEMNITES;DEPENSE PERSONNEL TOTAL;DEPENSE PROFESSEUR TRAITEMENT;DEPENSE PROFESSEUR INDEMNITES;DEPENSE PROFESSEUR TOTAL;DEPENSE PROFESSEUR OU MAITRESSE TRAITEMENT;DEPENSE PROFESSEUR OU MAITRESSE INDEMNITES;DEPENSE PROFESSEUR OU MAITRESSE TOTAL;DEPENSE PERSONNEL MAITRE OU MAITRESSE;DEPENSE PERSONNEL AGENT;DEPENSE PERSONNEL TOTAL;DEPENSE NOURRITURE;DEPENSE MATERIEL IMPRIMERIE;DEPENCE FRAIS PRIX;DEPENSE MATERIEL BIBLIOTHEQUE;DEPENSE MATERIEL TOTAL;DEPENSES TOTAL;REPORT TOTAL RECETTES;COMPARAISON EXCEDENT RECETTE;COMPARAISON EXCEDENT DEPENSE;INTERNATS SUBVENTION;INTERNATS PRODUIT ETAT;INTERNATS PRODUIT DEPARTEMENT;INTERNATS PRODUIT COMMUNE;INTERNATS COMPLEMENT;INTERNATS RECETTE DIVERS;INTERNATS TROUSSEAUX;INTERNATS RECETTE TOTALE;INTERNAT PRIX BOURSIERE PENSIONNAIRE;INTERNAT PRIX BOURSIERE DEMI-PENSIONNAIRE;INTERNAT PRIX BOURSIERE ELEVE-LIBRE PENSIONNAIRE 2;INTERNAT PRIX BOURSIERE ELEVE-LIBRE PENSIONNAIRE 1;INTERNAT PRIX BOURSIERE ELEVE-LIBRE PENSIONNAIRE PRIMAIRE;INTERNAT PRIX BOURSIERE ELEVE-LIBRE DEMI-PENSIONNAIRE 2;INTERNAT PRIX BOURSIERE ELEVE-LIBRE DEMI-PENSIONNAIRE 1;INTERNAT PRIX BOURSIERE ELEVE-LIBRE DEMI-PENSIONNAIRE PRIMAIRE;INTERNAT DEPENSE PERSONNEL;INTERNAT DEPENSE PERSONNEL AUMONIER;INTERNAT DEPENSE PERSONNEL AUMONIER AGENTS;INTERNAT DEPENSE PERSONNEL TOTAL;INTERNAT DEPENSE MATERIEL NOURRITURE;INTERNAT DEPENSE MATERIEL HABILLEMENT;INTERNAT DEPENSE MATERIEL CHAUFFAGE;INTERNAT DEPENSE MATERIEL TROUSSEAU;INTERNAT DEPENSE MATERIEL TOTAL;INTERNAT SOMMES VERSEES;INTERNAT DEPENSES TOTAL;INTERNAT REPORT TOTAL RECETTES;INTERNAT COMPARAISON EXCEDENT RECETTE;INTERNAT COMPARAISON EXCEDENT DEPENSE;EXTERNAT DEMI-PENSIONNAIRE BOURSIERE NATIONALE;EXTERNAT DEMI-PENSIONNAIRE BOURSIERE DEPARTEMENTALE;EXTERNAT DEMI-PENSIONNAIRE BOURSIERE COMMUNALE;EXTERNAT DEMI-PENSIONNAIRE BOURSIERE FAMILIALE NATIONALE;EXTERNAT DEMI-PENSIONNAIRE BOURSIERE FAMILIALE DEPARTEMENTALE;EXTERNAT DEMI-PENSIONNAIRE BOURSIERE FAMILIALE COMMUNALE;EXTERNAT EXTERNE BOURSIERE NATIONALE;EXTERNAT EXTERNE BOURSIERE DEPARTEMENTALE;EXTERNAT EXTERNE BOURSIERE COMMUNALE;EXTERNAT BOURSIERE TOTAL;EXTERNAT DEMI-PENSIONNAIRE NON-BOURSIERE;EXTERNAT SURVEILLES NON-BOURSIERE;EXTERNAT LIBRE NON-BOURSIERE;EXTERNAT NON-BOURSIERE INSTITUTIONS;EXTERNAT NON-BOURSIERE INTERNATS MUNICIPAUX;EXTERNAT NON-BOURSIERE TOTAL;EXTERNAT TOTAL;INSTITUTIONS BOURSIERE NATIONALE;INSTITUTIONS BOURSIERE DEPARTEMENTALE;INSTITUTIONS BOURSIERE COMMUNALE;INSTITUTIONS BOURSIERE TOTAL;INSTITUTIONS LIBRES;INSTITUTIONS TOTAL;INTERNAT-MUNICIPAL PENTIONNAIRE BOURSIERE NATIONALE;INTERNAT-MUNICIPAL PENTIONNAIRE BOURSIERE DEPARTEMENTALE;INTERNAT-MUNICIPAL PENTIONNAIRE BOURSIERE COMMUNALE;INTERNAT-MUNICIPAL DEMI-PENTIONNAIRE BOURSIERE NATIONALE;INTERNAT-MUNICIPAL DEMI-PENTIONNAIRE BOURSIERE DEPARTEMENTALE;INTERNAT-MUNICIPAL DEMI-PENTIONNAIRE BOURSIERE COMMUNALE;INTERNAT-MUNICIPAL BOURSIERES TOTAL;INTERNAT-MUNICIPAL PENTIONNAIRE NON-BOURSIERE;INTERNAT-MUNICIPAL DEMI-PENTIONNAIRE NON-BOURSIERE;INTERNAT-MUNICIPAL NON-BOURSIERE TOTAL;INTERNAT-MUNICIPAL TOTAL;ENSEIGNEMENT SECONDAIRE DEUXIEME PERIODE 6 SCIENCES;ENSEIGNEMENT SECONDAIRE DEUXIEME PERIODE 6 LETTRES;ENSEIGNEMENT SECONDAIRE DEUXIEME PERIODE 5;ENSEIGNEMENT SECONDAIRE DEUXIEME PERIODE 4;ENSEIGNEMENT SECONDAIRE PREMIERE PERIODE 3;ENSEIGNEMENT SECONDAIRE PREMIERE PERIODE 2;ENSEIGNEMENT SECONDAIRE PREMIERE PERIODE 1;ENSEIGNEMENT SECONDAIRE TOTAL;ENSEIGNEMENT PRIMAIRE CLASSE PRIMAIRE;ENSEIGNEMENT PRIMAIRE CLASSE ENFANTINE;ENSEIGNEMENT PRIMAIRE TOTAL;ELEVE TOTAL GENERAL;NOMBRE ELEVE SEVRES
1;0;FRANCE;0;NA;-0.01;-0.01;-0.01;496820;13800.110000000001;36655.370000000003;444;35472.5;138226.48999999999;87586.5;192443.25;62627.32;1064075.54;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;122429.59;16721.32;139150.91;422767.56;37139.029999999999;459906.59000000003;23225;40200.129999999997;63425.129999999997;94819.399999999994;44527.660000000003;801829.68999999994;70507.880000000005;117473;22851.560000000001;15836.860000000001;226669.29999999999;1028498.99;1064075.54;43411.019999999997;7834.4700000000003;4680.7200000000003;30781.599999999999;5507.5;2850;127991.73;30564.990000000002;15490.110000000001;217866.64999999999;NA;-0.01;NA;NA;NA;NA;NA;NA;24734.509999999998;3821.8499999999999;13061.84;41618.199999999997;85594.169999999998;12630.889999999999;30513.889999999999;12268.940000000001;141006.98999999999;31024.279999999999;213649.47;217866.64999999999;4217.1800000000003;NA;44;0;26;1;0;0;97;3;133;304;289;597;1600;210;330;3026;3330;41;15;2;58;152;210;66;21;3;1;0;3;94;216;20;236;330;59;55;190;262;467;499;473;2005;1142;183;1325;3330;57
2;1;FENELON(JF);9;1883;3605.8499999999999;1913.45;1692.4000000000001;15000;NA;19484.369999999999;0;NA;79186.600000000006;18553.75;20748.75;30266.630000000001;183240.10000000001;700;350;800;700;600;400;350;300;300;250;200;12325;900;13225;66221.669999999998;1253.3299999999999;67475;9100;600;9700;15983.32;5300;111683.32000000001;35238.209999999999;23472.880000000001;2271.6999999999998;3057.6500000000001;64040.440000000002;175723.76000000001;183240.10000000001;7516.3400000000001;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;NA;NA;NA;NA;NA;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;28;0;0;0;0;0;14;0;0;42;120;64;136;0;0;320;362;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;22;18;26;59;53;47;241;121;0;121;362;23
3;1;RACINE(JF);10;1887;1172.27;840.64999999999998;331.62;10000;NA;481.25;0;NA;3886.25;462.5;1607.5;908.5;17346;700;350;800;700;600;400;350;300;300;250;200;1250;870;2120;6566.3900000000003;NA;6566.3900000000003;1130;NA;1130;1527.79;677.00999999999999;12021.190000000001;2220.98;6287.6700000000001;NA;996.95000000000005;9505.6000000000004;21526.790000000001;17346;NA;4180.79;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;NA;NA;NA;NA;NA;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;3;0;0;0;0;0;0;0;0;3;34;5;37;0;0;76;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;12;10;22;47;32;0;32;79;0
4;4;REIMS(JF);NA;1885;2213;1290;923;28000;631.70000000000005;125;0;2000;10098.139999999999;8119.75;10170.67;4706.8299999999999;63852.089999999997;425;125;450;425;400;190;160;140;130;100;80;7400;300;7700;22262.220000000001;952.5;23214.720000000001;1600;2796;4396;5958.3299999999999;3193.9899999999998;44463.040000000001;6247.1499999999996;9926.9300000000003;1700;874.10000000000002;18748.18;63211.220000000001;63852.089999999997;640.87;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;NA;NA;NA;NA;NA;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;0;0;4;0;0;0;1;0;0;5;29;67;122;15;0;233;238;6;1;0;7;8;15;0;0;0;0;0;0;0;0;0;0;0;0;0;6;15;24;37;35;117;87;34;121;238;0
5;1;NICE(JF);87;1887;4000;2115;1885;7000;NA;180;0;900;990;1014.5;5050;1456.4100000000001;16590.91;450;150;500;450;400;210;185;160;150;125;100;1000;387;1387;5080.2799999999997;472.5;5552.7799999999997;NA;688.66999999999996;688.66999999999996;1037.5;750;9415.9500000000007;619.70000000000005;1106.48;NA;1085.77;2811.9499999999998;12227.9;16590.91;4363.0100000000002;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;NA;NA;NA;NA;NA;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;0;0;3;0;0;0;4;0;8;15;8;21;173;0;0;202;217;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;13;26;26;31;99;96;22;118;217;0
6;2;BESANCON(JF);28;1882;965;568;397;27000;NA;690;0;1440;807.5;2500;9281;914.08000000000004;42632.580000000002;475;120;525;475;425;185;160;140;125;100;80;6915.2600000000002;1500;8415.2600000000002;19100;1800;20900;NA;2870;2870;4250;1950;38385.260000000002;483.22000000000003;2743.1100000000001;998.45000000000005;479.89999999999998;4704.6800000000003;43089.940000000002;42632.580000000002;NA;457.36000000000001;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;NA;NA;NA;NA;NA;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;0;0;0;0;0;0;5;0;7;12;2;22;77;32;0;133;145;12;3;2;17;15;32;0;0;0;0;0;0;0;0;0;0;0;0;0;19;11;22;21;23;96;49;0;49;145;2
7;3;BORDEAUX(JF);31;1883;2016.24;1185.24;831;32000;1000;2587.5;0;4950;19531.25;3605.5;12937.5;6346;82957.75;525;150;575;525;475;250;210;180;170;130;100;6400;910;7310;27433.32;3660;31093.32;2510;2240;4750;7125;4570;54848.32;9549.5799999999999;13430.1;1590.8;890.33000000000004;25460.810000000001;80309.130000000005;82957.75;2648.6199999999999;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;NA;NA;NA;NA;NA;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;3;0;6;0;0;0;6;0;12;27;42;14;96;0;0;152;179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5;17;13;23;28;31;120;59;0;59;179;0
8;2;HAVRE(LE);56;1885;3189.5;1204;1985.5;30000;1339.5;525;0;3825;5453.75;7475;12678;2217.1599999999999;63513.410000000003;525;120;575;525;475;230;170;150;180;120;100;5600;1410;7010;27450;300;27750;1800;837.5;2637.5;7400.0100000000002;3460;48257.510000000002;4344.6000000000004;9987.5200000000004;1264.7;669.41999999999996;16266.24;64523.75;63513.410000000003;NA;1010.34;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;NA;NA;NA;NA;NA;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;1;0;4;0;0;0;0;0;0;5;10;54;111;4;0;179;184;2;2;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;4;11;10;19;19;63;121;0;121;184;1
9;4;ROUEN(JF);107;1882;3000;1330;1670;33000;NA;586.5;0;2400;NA;9991.5;8185.75;1476.6199999999999;55640.370000000003;525;120;575;525;475;185;160;140;125;100;80;7025;500;7525;21900;2700;24600;2200;2615.1599999999999;4815.1599999999999;5995.8299999999999;3316;46251.989999999998;NA;4667.4499999999998;1699.0999999999999;1105.55;7472.1000000000004;53724.089999999997;55640.370000000003;1916.28;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;NA;NA;NA;NA;NA;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;2;0;0;0;0;0;2;0;11;15;0;67;60;34;0;161;176;6;2;0;8;26;34;0;0;0;0;0;0;0;0;0;0;0;0;0;9;13;26;25;22;95;61;20;81;176;0
10;4;GUERET(JF);54;1887;23500;2798;20702;7000;416.75;NA;0;270;NA;102;2027;514.75;10330.5;0;100;0;0;0;180;160;130;120;100;70;1194.3499999999999;471;1665.3499999999999;1943.55;459.69999999999999;2403.25;NA;318.30000000000001;318.30000000000001;1075;221.59999999999999;5683.5;NA;1952.8800000000001;NA;NA;1952.8800000000001;7636.3800000000001;10330.5;2694.1199999999999;NA;NA;1072.5;2160;NA;3723.9499999999998;1677.3;1889;10522.75;600;NA;600;575;550;350;325;300;794.39999999999998;NA;387.30000000000001;1181.7;3609.9099999999999;314.66000000000003;1666.5799999999999;1845;7436.1499999999996;778.14999999999998;9396;10522.75;1126.75;NA;0;0;0;0;0;0;0;0;0;0;0;2;26;0;47;75;75;0;0;0;0;0;0;9;12;0;0;0;0;21;26;0;26;47;0;0;1;19;13;19;14;66;9;0;9;75;0
11;4;MOULINS(JF);79;1883;1085.3099999999999;466.77999999999997;618.52999999999997;28000;NA;780;0;1200;NA;2453;4197;863.09000000000003;37493.089999999997;0;120;0;0;0;190;160;140;130;100;80;4586.6599999999999;1106.6600000000001;5693.3199999999997;16580;2760;19340;NA;2000;2000;3000;1610;31643.32;NA;2255.52;744.73000000000002;598.53999999999996;3598.79;35242.110000000001;37493.089999999997;2250.98;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;NA;NA;NA;NA;NA;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;0;0;0;0;0;0;5;0;8;13;0;23;51;0;0;74;87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;14;11;16;51;34;2;36;87;0
12;2;AMIENS(JF);18;1883;2977;1213;1764;31000;NA;1584;0;2527.5;4005;5680;7009.5;1242.8299999999999;53048.830000000002;450;120;475;450;425;185;160;130;125;100;70;6900;400;7300;21436.110000000001;1080;22516.110000000001;NA;3586.5;3586.5;4412.4899999999998;1890;39705.099999999999;3642.5;3908.1399999999999;1345.9100000000001;808.85000000000002;9705.3999999999996;49410.5;53048.830000000002;3638.3299999999999;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;NA;NA;NA;NA;NA;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;2;0;4;0;0;0;5;0;5;16;8;49;56;39;0;152;168;9;3;0;12;27;39;0;0;0;0;0;0;0;0;0;0;0;6;4;9;11;23;24;19;96;51;21;72;168;3
13;3;TOURNON(JF);119;1885;15220;4274.2399999999998;10945.76;28000;1575;240;0;840;NA;867.5;8200;893.78999999999996;40616.290000000001;0;120;0;0;0;200;150;100;150;100;50;6025;2050;8075;15844.43;2232.5;18076.93;1200;1042;2242;4120.8299999999999;2024.3299999999999;34539.089999999997;NA;2873.8499999999999;1049.8;288.04000000000002;4211.6899999999996;38750.779999999999;40616.290000000001;1865.51;NA;878.01999999999998;4980;NA;NA;19242.5;9188.5599999999995;4125.8999999999996;38414.980000000003;600;NA;600;500;400;350;300;250;4246.9200000000001;346.85000000000002;2561.6500000000001;7155.4200000000001;16577.150000000001;5744.4899999999998;4305.4200000000001;NA;26627.060000000001;4632.5;38414.980000000003;38414.980000000003;NA;NA;0;0;0;1;0;0;2;0;7;10;0;14;26;4;52;96;106;0;0;0;0;4;4;10;0;0;0;0;0;10;39;3;42;52;0;0;9;8;14;26;20;77;29;0;29;106;0
14;1;LYON(JF);65;1882;860;460;400;36500;NA;1363;0;4550;3767.5;7735;16225;1303.5;71444;550;120;600;550;500;200;180;160;140;120;100;9200;NA;9200;30475;5040;35515;NA;4600;4600;6000;3250;58565;2993.6500000000001;4709.96;1989.51;866.95000000000005;10560.07;69125.070000000007;71444;2318.9299999999998;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;NA;NA;NA;NA;NA;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;3;0;5;0;0;0;6;0;13;27;7;53;135;0;0;195;222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;8;11;15;26;29;39;137;74;11;85;222;7
15;3;ROANNE(JF);101;1885;14375;1722;12653;31000;1800;240;0;1200;NA;2001;5930.3299999999999;628.91999999999996;42800.25;0;120;0;0;0;170;150;120;120;100;70;8866.6599999999999;533.33000000000004;9399.9899999999998;18585;1060;19645;NA;2956;2956;2791.6500000000001;1700;36492.639999999999;NA;2091.1799999999998;699.25999999999999;255.50999999999999;3045.9499999999998;39538.589999999997;42800.25;3261.6599999999999;NA;2473.79;6756;NA;NA;10432.030000000001;2532.9400000000001;NA;22194.759999999998;600;NA;575;550;525;350;325;300;3699.9899999999998;NA;1998.1700000000001;5698.1599999999999;10246.629999999999;1039.71;1923.4300000000001;NA;13209.77;3286.8299999999999;22194.759999999998;22194.759999999998;NA;NA;0;0;0;0;0;0;2;0;7;9;0;14;36;0;35;85;94;0;0;0;0;0;0;13;0;0;0;0;0;13;17;5;22;35;0;0;5;9;21;18;14;67;12;15;27;94;0
16;3;MONTPELLIER(JF);77;1881;18020;4296.9700000000003;13723.030000000001;28320;NA;2710;0;1520;NA;2116.25;31802.5;1568.6600000000001;68037.410000000003;0;200;0;0;0;250;200;150;200;150;100;10200;800;11000;37320.839999999997;1260;38580.839999999997;2800;1300;4100;5787.4899999999998;2123.8899999999999;61592.220000000001;NA;5238.1400000000003;2137.7800000000002;1255.25;8631.1700000000001;76223.389999999999;68037.410000000003;NA;2185.98;NA;9178.1000000000004;2450;NA;54437.5;5787.6899999999996;7173.96;79027.25;825;412.5;850;800;750;500;450;400;9116.5799999999999;1900;4359.6000000000004;15376.18;28196.400000000001;3500.4099999999999;9615.7099999999991;8556.1499999999996;49868.669999999998;13168.299999999999;78413.149999999994;79027.25;614.10000000000002;NA;0;0;0;0;0;0;13;0;2;15;0;17;112;36;80;245;260;0;0;0;0;36;36;10;3;0;0;0;0;13;65;2;67;80;5;1;19;31;45;39;37;177;67;16;83;260;5
17;3;NIORT(JF);90;1886;1460;790;670;28000;NA;750;0;1200;1359.25;609.5;1816.5;570.90999999999997;34306.160000000003;375;120;400;375;350;170;140;110;120;90;60;5000;1350;6350;10966.66;2390;13356.66;NA;1900;1900;3000;1628.3399999999999;26235;988.70000000000005;2212.71;1021.3;309.27999999999997;4532.1599999999999;30767.16;34306.160000000003;3539;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;NA;NA;NA;NA;NA;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;2;0;0;0;0;0;0;0;6;8;4;11;24;13;0;52;60;4;4;0;8;5;13;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;15;13;11;45;11;4;15;60;1
18;3;TOURS(JF);121;1887;1650;620;1030;5000;2150;NA;0;300;643.75;96;1373.5;468;10031.25;425;120;475;425;375;190;160;130;140;110;80;641.65999999999997;333.32999999999998;974.99000000000001;2458.3200000000002;1487.5;3945.8200000000002;160;475;635;604.16999999999996;187.5;6347.4799999999996;420.05000000000001;604.48000000000002;NA;433.88999999999999;1458.4200000000001;7805.8999999999996;10031.25;2225.3499999999999;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;NA;NA;NA;NA;NA;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;0;0;0;0;0;0;0;0;6;6;7;4;30;24;0;65;71;0;0;0;0;24;24;0;0;0;0;0;0;0;0;0;0;0;0;0;8;7;17;16;11;59;12;0;12;71;0
19;3;NANTES(JF);83;1882;2625;972;1653;27000;1500;1302;0;2400;NA;6982;9337.75;2533.9699999999998;51055.720000000001;0;120;0;0;0;185;160;140;125;100;80;6400;NA;6400;21400;3516;24916;60;3200;3260;4412.4899999999998;1675;40663.489999999998;NA;6534;1595.4300000000001;585.95000000000005;8715.3799999999992;49378.870000000003;51055.720000000001;1676.8499999999999;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;NA;-0.01;NA;NA;NA;NA;NA;NA;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;0;0;0;0;0;0;8;0;14;22;0;51;107;9;0;167;189;2;0;0;2;7;9;0;0;0;0;0;0;0;0;0;0;0;3;3;16;18;20;19;17;96;93;0;93;189;5
20;3;MONTAUBAN;71;1886;25100;9620;15480;33000;2387.1599999999999;1158;444;1200;NA;1564.75;10688.25;854.53999999999996;51296.699999999997;0;120;0;0;0;170;150;130;110;90;70;5500;2400;7900;23066.619999999999;1565;24631.619999999999;665;1775;2440;4500;2250;41721.620000000003;NA;4963.5600000000004;1453.4300000000001;643.45000000000005;7060.4399999999996;48782.059999999998;51296.699999999997;2514.6399999999999;NA;1328.9100000000001;8795;897.5;2850;21068.75;2040;2195;39175.160000000003;600;350;600;550;500;350;325;300;4899.96;800;2495.8299999999999;8195.7900000000009;16541.139999999999;1232.73;5298.1099999999997;1761.8900000000001;24833.869999999999;6145.5;39175.160000000003;39175.160000000003;NA;NA;0;0;0;0;0;0;9;3;7;19;0;12;57;0;79;148;167;0;0;0;0;0;0;24;6;3;1;0;3;37;32;10;42;79;8;2;9;22;28;24;18;111;43;13;56;167;0
21;3;TOULOUSE(JF);116;1884;8724.0799999999999;3182.5999999999999;5541.4799999999996;32000;1000;1868.75;0;2750;8497.5;5657;13176.75;2892.1300000000001;67842.130000000005;0;125;430;390;350;210;180;150;140;110;80;10000;500;10500;26677.150000000001;3150;29827.150000000001;NA;4400;4400;5837.5;2750;53314.650000000001;3759.3699999999999;8506.4400000000005;1289.6600000000001;631.48000000000002;14186.950000000001;67501.600000000006;67842.130000000005;340.52999999999997;NA;NA;NA;NA;NA;19087;9338.5;106.25;28531.75;650;NA;700;650;600;480;440;400;1976.6600000000001;775;1259.29;4010.9499999999998;10422.940000000001;798.88999999999999;7704.6400000000003;105;19031.470000000001;3013;26055.419999999998;28531.75;2476.3299999999999;NA;0;0;0;0;0;0;15;0;20;35;18;33;128;0;37;216;251;0;0;0;0;0;0;0;0;0;0;0;0;0;37;0;37;37;9;10;15;13;29;42;27;145;81;25;106;251;10
